,c_to_m,nonlocal_load_efficiency,global_load_efficiency,unified_hit_rate
mpnnv1_forward_10n_1b/metrics.csv,20.69521704998328,0.9662851353426587,0.7952575251131117,0.4460015009992953
gcn_inference/metrics.csv,0.3000613883392695,0.8978298032897908,0.5592367297041075,0.4310846417801808
gat_sparse_backward_10n_1b/metrics.csv,2.78283781322423,0.885026922362856,0.3883788364810415,0.42876309344224484
graphsage_training/metrics.csv,13.539414987516974,0.7060135764127505,0.26207827123740823,0.6460308094551491
gat_dense_forward_10n_1b/metrics.csv,0.7516077946592221,0.9722629099923424,0.8989496114392078,0.5469508236491517
gat_sparse_forward_10n_1b/metrics.csv,1.8449044424548764,0.7220746112608303,0.5050403011383686,0.28703154445554907
mpnnv2_backward_10n_1b/metrics.csv,7.65779936786059,0.9381453435015384,0.7783235909849721,0.28348211659273637
deeplab_coco_2n_2b_forward/metrics.csv,10.37110501015489,0.8598571423661392,0.5053545296331841,0.5652247092778045
graphsage_inference/metrics.csv,12.547185318341556,0.8419986408156714,0.5088080686137278,0.5263979869505797
mpnnv2_forward_n10_1b/metrics.csv,9.72333435204418,0.9672886701834208,0.8821965491023438,0.22438231641271217
mpnnv1_backward_10n_1b/metrics.csv,8.813103818669683,0.591634194671817,0.26962602422553683,0.6641492102106384
multiscale_backward_10n_10b/metrics.csv,8.034421204134349,0.45062175507957575,0.18748079691153982,0.5354392439152533
deeplab_coco_2n_2b_backward/metrics.csv,9.884879831348771,0.8006296689852103,0.39757519490239834,0.5687140910709633
gcn_training/metrics.csv,0.28921134815169447,0.9037869439155235,0.5619555969784309,0.4139006696365476
multiscale_forward_10n_10b/metrics.csv,8.423483394849026,0.4477600027072749,0.23080647240833588,0.5035287092215104
